Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D10.0mm_P5.00mm,1,470uF,
"C10, C2, C5, C8, C9",0805,5,22uF,
C11,0805,1,68pF,
C3,0805,1,1uF,
"C4, C6, C7",0805,3,0.1uF,
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",SMA_L4.4-W2.6-LS5.0-RD,12,M7,C426571
J1,CONN-TH_P5.08_KF128-5.08-2P,1,Screw Terminal - 2P,C474952
J2,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
J3,CONN-TH_15P-P5.00_DB128V,1,Screw Terminal - 15P,C424689
L1,IND-SMD_L7.2-W6.6_GPSR07X0,1,15uH,C5189959
LED1,LED-ARRAY-SMD_6P-L1.6-W1.6-TL,1,RGB_LED,C131204
"Q1, Q10, Q11, Q12, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",TO-252-2,12,IRLR8726TRPBF,C81137
"R1, R13, R14, R15, R16, R17, R18, R2, R25, R29, R3, R4, R5, R6",0603,14,10K,
"R10, R11, R12, R19, R20, R21, R22, R23, R24, R7, R8, R9",0603,12,80,
"R26, R27, R28",0603,3,220,
R30,0603,1,100K,
R31,0603,1,22.1K,
SW1,KEY-SMD_4P-L4.5-W4.5-P3.00-LS7.5,1,UK-B0206-G5-250-JZ,C780491
U1,SOT-23-6,1,TPS54202DDC,
U2,ESP32-WROOM-32,1,ESP32-WROOM-32D,
