Designator,Mid X,Mid Y,Rotation,Layer
C1,68.05,-75.2,90.0,top
C10,72.3375,-56.6,0.0,top
C11,85.3,-60.0625,270.0,top
C2,123.0,-63.6,270.0,top
C3,71.3375,-59.8625,90.0,top
C4,73.6375,-59.8625,90.0,top
C5,120.8,-58.4,90.0,top
C6,123.0,-58.4,90.0,top
C7,77.4,-57.0,180.0,top
C8,72.3375,-52.3,0.0,top
C9,72.3375,-54.45,0.0,top
D1,60.275,-102.665,180.0,top
D10,148.725,-102.665,180.0,top
D11,158.325,-102.665,180.0,top
D12,168.475,-102.665,180.0,top
D2,70.125,-102.665,180.0,top
D3,79.925,-102.665,180.0,top
D4,89.675,-102.665,180.0,top
D5,99.475,-102.665,180.0,top
D6,109.225,-102.665,180.0,top
D7,119.125,-102.665,180.0,top
D8,128.925,-102.665,180.0,top
D9,138.625,-102.665,180.0,top
J1,55.45,-72.7,270.0,top
J2,176.8,-79.04,180.0,top
J3,114.6,-116.15,0.0,top
L1,66.65,-57.0,90.0,top
LED1,158.1,-64.95,180.0,top
Q1,60.323636,-95.965,270.0,top
Q10,148.647476,-95.965,270.0,top
Q11,158.461236,-95.965,270.0,top
Q12,168.275,-95.965,270.0,top
Q2,70.137396,-95.965,270.0,top
Q3,79.951156,-95.965,270.0,top
Q4,89.764916,-95.965,270.0,top
Q5,99.578676,-95.965,270.0,top
Q6,109.392436,-95.965,270.0,top
Q7,119.206196,-95.965,270.0,top
Q8,129.019956,-95.965,270.0,top
Q9,138.833716,-95.965,270.0,top
R1,58.122476,-87.3,270.0,top
R10,92.072476,-87.3,270.0,top
R11,101.872476,-87.3,270.0,top
R12,111.672476,-87.3,270.0,top
R13,116.922476,-87.3,270.0,top
R14,126.772476,-87.3,270.0,top
R15,136.572476,-87.3,270.0,top
R16,146.372476,-87.3,270.0,top
R17,156.172476,-87.3,270.0,top
R18,165.972476,-87.3,270.0,top
R19,121.472476,-87.3,270.0,top
R2,67.872476,-87.3,270.0,top
R20,131.322476,-87.3,270.0,top
R21,141.122476,-87.3,270.0,top
R22,150.922476,-87.3,270.0,top
R23,160.722476,-87.3,270.0,top
R24,170.572476,-87.3,270.0,top
R25,120.8,-63.625,270.0,top
R26,152.85,-66.55,180.0,top
R27,152.85,-64.95,180.0,top
R28,152.85,-63.35,180.0,top
R29,164.7,-61.15,0.0,top
R3,77.672476,-87.3,270.0,top
R30,83.4,-60.1125,270.0,top
R31,81.55,-60.1125,90.0,top
R4,87.472476,-87.3,270.0,top
R5,97.252908,-87.3,270.0,top
R6,107.122476,-87.3,270.0,top
R7,62.622476,-87.3,270.0,top
R8,72.422476,-87.3,270.0,top
R9,82.222476,-87.3,270.0,top
SW1,157.95,-59.3,90.0,top
U1,77.4875,-59.95,0.0,top
U2,134.2,-65.87,0.0,top
